country,lat,lng,co2
Suriname,3.919305,-56.027783,2
Niger,17.607789,8.081666,2
Guyana,4.860416,-58.93018,2
Fiji,-17.713371,178.065032,2
Barbados,13.193887,-59.543198,2
Republic of South Sudan,6.8769919,31.3069788,1
Malawi,-13.254308,34.301525,1
Swaziland,-26.522503,31.465866,1
Sierra Leone,8.460555,-11.779889,1
Maldives,1.9772276,73.536101,1
Mali,17.570692,-3.996166,1
Liberia,6.428055,-9.429499,1
Bhutan,27.514162,90.433601,1
Aruba,12.52111,-69.968338,1
French Polynesia,-17.679742,-149.406843,1
Rwanda,-1.940278,29.873888,1
French Guiana,3.933889,-53.125782,1
Eritrea,15.179384,39.782334,1
Seychelles,-4.679574,55.491977,1
Somalia,5.152149,46.199616,1
Chad,15.454166,18.732207,1
Djibouti,11.825138,42.590275,1
Faeroe Islands,61.892635,-6.911806,1
Greenland,71.706936,-42.604303,1
Cayman Islands,19.3133,-81.2546,1
Antigua and Barbuda,17.060816,-61.796428,1
Belize,17.189877,-88.49765,1
Gambia,13.443182,-15.310139,0
Andorra,42.506285,1.521801,0
Gibraltar,36.140751,-5.353585,0
Timor-Leste,-8.874217,125.727539,0
Cape Verde,15.120142,-23.6051868,0
Saint Lucia,13.909444,-60.978893,0
Bermuda,32.3078,-64.7505,0
"Bonaire, Saint Eustatius and Saba",12.1783611,-68.2385339,0
Grenada,12.1165,-61.679,0
Burundi,-3.373056,29.918886,0
Central African Republic,6.611111,20.939444,0
Saint Kitts and Nevis,17.357822,-62.782998,0
Guinea-Bissau,11.803749,-15.180413,0
Samoa,-13.759029,-172.104629,0
Palau,7.51498,134.58252,0
Tonga,-21.178986,-175.198242,0
Saint Vincent and the Grenadines,13.2528179,-61.1970774,0
Solomon Islands,-9.64571,160.156194,0
Turks and Caicos Islands,21.694025,-71.797928,0
British Virgin Islands,18.420695,-64.639968,0
Comoros,-11.6455,43.3333,0
Liechtenstein,47.166,9.555373,0
Micronesia (Federated States of),6.8874581,158.2225229,0
Anguilla,18.220554,-63.068615,0
Dominica,15.414999,-61.370976,0
Sao Tome and Principe,0.18636,6.613081,0
Vanuatu,-15.376706,166.959158,0
Marshall Islands,11.3246908,166.8417424,0
Saint Pierre and Miquelon,46.8852,-56.3159,0
Cook Islands,-21.236736,-159.777671,0
Kiribati,1.8709422,-157.3628595,0
Falkland Islands (Malvinas),-51.796253,-59.523613,0
Montserrat,16.742498,-62.187366,0
Nauru,-0.522778,166.931503,0
Wallis and Futuna Islands,-14.2938,-178.1165,0
Niue,-19.054445,-169.867233,0
Saint Helena,-15.9650104,-5.7089241,0
